epoch,train_loss,val_loss,val_exact_match_acc,val_micro_precision,val_micro_recall,val_micro_f1,val_macro_precision,val_macro_recall,val_macro_f1,is_best_epoch
1,1.0643,0.933,0.0123,0.3515,0.9333,0.5106,0.3603,0.9388,0.5133,False
2,0.7894,0.6344,0.1605,0.5104,0.95,0.6641,0.5089,0.9564,0.6562,False
3,0.5162,0.4188,0.5185,0.6953,0.9889,0.8165,0.72,0.9872,0.8251,False
4,0.3494,0.3136,0.7654,0.8271,0.9833,0.8985,0.8593,0.9802,0.9104,False
5,0.2722,0.2695,0.821,0.8641,0.9889,0.9223,0.8906,0.9872,0.9312,False
6,0.2409,0.2575,0.8272,0.8683,0.9889,0.9247,0.8941,0.9872,0.933,True
