label,threshold,precision,recall,f1,tp,fp,fn,tn
DV,0.1,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.11,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.12,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.13,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.14,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.15,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.16,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.17,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.18,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.19,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.2,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.21,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.22,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.23,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.24,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.25,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.26,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.27,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.28,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.29,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.3,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
DV,0.31,0.2138364779874214,1.0,0.3523316062176166,34,125,0,3
DV,0.32,0.21656050955414013,1.0,0.356020942408377,34,123,0,5
DV,0.33,0.2236842105263158,1.0,0.3655913978494624,34,118,0,10
DV,0.34,0.23776223776223776,1.0,0.384180790960452,34,109,0,19
DV,0.35,0.25757575757575757,1.0,0.40963855421686746,34,98,0,30
DV,0.36,0.30357142857142855,1.0,0.4657534246575342,34,78,0,50
DV,0.37,0.3695652173913043,1.0,0.5396825396825397,34,58,0,70
DV,0.38,0.41975308641975306,1.0,0.5913043478260869,34,47,0,81
DV,0.39,0.4533333333333333,1.0,0.6238532110091742,34,41,0,87
DV,0.4,0.4782608695652174,0.9705882352941176,0.6407766990291262,33,36,1,92
DV,0.41,0.515625,0.9705882352941176,0.673469387755102,33,31,1,97
DV,0.42,0.5344827586206896,0.9117647058823529,0.6739130434782609,31,27,3,101
DV,0.43,0.5535714285714286,0.9117647058823529,0.6888888888888888,31,25,3,103
DV,0.44,0.5882352941176471,0.8823529411764706,0.7058823529411764,30,21,4,107
DV,0.45,0.5882352941176471,0.8823529411764706,0.7058823529411764,30,21,4,107
DV,0.46,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.47,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.48,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.49,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.5,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.51,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.52,0.5918367346938775,0.8529411764705882,0.6987951807228915,29,20,5,108
DV,0.53,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.54,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.55,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.56,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.57,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.58,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.59,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.6,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.61,0.6041666666666666,0.8529411764705882,0.7073170731707317,29,19,5,109
DV,0.62,0.6744186046511628,0.8529411764705882,0.7532467532467532,29,14,5,114
DV,0.63,0.8787878787878788,0.8529411764705882,0.8656716417910447,29,4,5,124
DV,0.64,0.90625,0.8529411764705882,0.8787878787878787,29,3,5,125
DV,0.65,1.0,0.8529411764705882,0.9206349206349206,29,0,5,128
DV,0.66,1.0,0.7941176470588235,0.8852459016393442,27,0,7,128
DV,0.67,1.0,0.7352941176470589,0.8474576271186441,25,0,9,128
DV,0.68,1.0,0.6470588235294118,0.7857142857142858,22,0,12,128
DV,0.69,1.0,0.6470588235294118,0.7857142857142858,22,0,12,128
DV,0.7,1.0,0.5,0.6666666666666666,17,0,17,128
DV,0.71,1.0,0.3235294117647059,0.48888888888888893,11,0,23,128
DV,0.72,1.0,0.14705882352941177,0.25641025641025644,5,0,29,128
DV,0.73,0.0,0.0,0.0,0,0,34,128
DV,0.74,0.0,0.0,0.0,0,0,34,128
DV,0.75,0.0,0.0,0.0,0,0,34,128
DV,0.76,0.0,0.0,0.0,0,0,34,128
DV,0.77,0.0,0.0,0.0,0,0,34,128
DV,0.78,0.0,0.0,0.0,0,0,34,128
DV,0.79,0.0,0.0,0.0,0,0,34,128
DV,0.8,0.0,0.0,0.0,0,0,34,128
DV,0.81,0.0,0.0,0.0,0,0,34,128
DV,0.82,0.0,0.0,0.0,0,0,34,128
DV,0.83,0.0,0.0,0.0,0,0,34,128
DV,0.84,0.0,0.0,0.0,0,0,34,128
DV,0.85,0.0,0.0,0.0,0,0,34,128
DV,0.86,0.0,0.0,0.0,0,0,34,128
DV,0.87,0.0,0.0,0.0,0,0,34,128
DV,0.88,0.0,0.0,0.0,0,0,34,128
DV,0.89,0.0,0.0,0.0,0,0,34,128
DV,0.9,0.0,0.0,0.0,0,0,34,128
SH,0.1,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.11,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.12,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.13,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.14,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.15,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.16,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.17,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.18,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.19,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.2,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.21,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.22,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.23,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.24,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.25,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.26,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.27,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.28,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.29,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.3,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.31,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.32,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.33,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.34,0.2777777777777778,1.0,0.4347826086956522,45,117,0,0
SH,0.35,0.28846153846153844,1.0,0.44776119402985076,45,111,0,6
SH,0.36,0.30201342281879195,1.0,0.46391752577319584,45,104,0,13
SH,0.37,0.32142857142857145,1.0,0.4864864864864865,45,95,0,22
SH,0.38,0.3284671532846715,1.0,0.4945054945054945,45,92,0,25
SH,0.39,0.3488372093023256,1.0,0.5172413793103449,45,84,0,33
SH,0.4,0.391304347826087,1.0,0.5625,45,70,0,47
SH,0.41,0.39473684210526316,1.0,0.5660377358490566,45,69,0,48
SH,0.42,0.39473684210526316,1.0,0.5660377358490566,45,69,0,48
SH,0.43,0.39473684210526316,1.0,0.5660377358490566,45,69,0,48
SH,0.44,0.39473684210526316,1.0,0.5660377358490566,45,69,0,48
SH,0.45,0.39473684210526316,1.0,0.5660377358490566,45,69,0,48
SH,0.46,0.39473684210526316,1.0,0.5660377358490566,45,69,0,48
SH,0.47,0.39823008849557523,1.0,0.569620253164557,45,68,0,49
SH,0.48,0.4090909090909091,1.0,0.5806451612903226,45,65,0,52
SH,0.49,0.42452830188679247,1.0,0.5960264900662252,45,61,0,56
SH,0.5,0.44554455445544555,1.0,0.6164383561643836,45,56,0,61
SH,0.51,0.4479166666666667,0.9555555555555556,0.6099290780141845,43,53,2,64
SH,0.52,0.4574468085106383,0.9555555555555556,0.6187050359712231,43,51,2,66
SH,0.53,0.4777777777777778,0.9555555555555556,0.6370370370370371,43,47,2,70
SH,0.54,0.5060240963855421,0.9333333333333333,0.65625,42,41,3,76
SH,0.55,0.5526315789473685,0.9333333333333333,0.694214876033058,42,34,3,83
SH,0.56,0.6212121212121212,0.9111111111111111,0.7387387387387386,41,25,4,92
SH,0.57,0.7407407407407407,0.8888888888888888,0.808080808080808,40,14,5,103
SH,0.58,0.8260869565217391,0.8444444444444444,0.8351648351648352,38,8,7,109
SH,0.59,0.918918918918919,0.7555555555555555,0.8292682926829269,34,3,11,114
SH,0.6,0.9714285714285714,0.7555555555555555,0.85,34,1,11,116
SH,0.61,0.9714285714285714,0.7555555555555555,0.85,34,1,11,116
SH,0.62,0.9714285714285714,0.7555555555555555,0.85,34,1,11,116
SH,0.63,0.96875,0.6888888888888889,0.8051948051948051,31,1,14,116
SH,0.64,1.0,0.6666666666666666,0.8,30,0,15,117
SH,0.65,1.0,0.6666666666666666,0.8,30,0,15,117
SH,0.66,1.0,0.6,0.7499999999999999,27,0,18,117
SH,0.67,1.0,0.5111111111111111,0.676470588235294,23,0,22,117
SH,0.68,1.0,0.4,0.5714285714285715,18,0,27,117
SH,0.69,1.0,0.28888888888888886,0.4482758620689655,13,0,32,117
SH,0.7,1.0,0.044444444444444446,0.0851063829787234,2,0,43,117
SH,0.71,0.0,0.0,0.0,0,0,45,117
SH,0.72,0.0,0.0,0.0,0,0,45,117
SH,0.73,0.0,0.0,0.0,0,0,45,117
SH,0.74,0.0,0.0,0.0,0,0,45,117
SH,0.75,0.0,0.0,0.0,0,0,45,117
SH,0.76,0.0,0.0,0.0,0,0,45,117
SH,0.77,0.0,0.0,0.0,0,0,45,117
SH,0.78,0.0,0.0,0.0,0,0,45,117
SH,0.79,0.0,0.0,0.0,0,0,45,117
SH,0.8,0.0,0.0,0.0,0,0,45,117
SH,0.81,0.0,0.0,0.0,0,0,45,117
SH,0.82,0.0,0.0,0.0,0,0,45,117
SH,0.83,0.0,0.0,0.0,0,0,45,117
SH,0.84,0.0,0.0,0.0,0,0,45,117
SH,0.85,0.0,0.0,0.0,0,0,45,117
SH,0.86,0.0,0.0,0.0,0,0,45,117
SH,0.87,0.0,0.0,0.0,0,0,45,117
SH,0.88,0.0,0.0,0.0,0,0,45,117
SH,0.89,0.0,0.0,0.0,0,0,45,117
SH,0.9,0.0,0.0,0.0,0,0,45,117
ST,0.1,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.11,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.12,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.13,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.14,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.15,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.16,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.17,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.18,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.19,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.2,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.21,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.22,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.23,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.24,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.25,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.26,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.27,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.28,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.29,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.3,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.31,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.32,0.13580246913580246,1.0,0.2391304347826087,22,140,0,0
ST,0.33,0.13664596273291926,1.0,0.24043715846994537,22,139,0,1
ST,0.34,0.14193548387096774,1.0,0.24858757062146894,22,133,0,7
ST,0.35,0.14666666666666667,1.0,0.2558139534883721,22,128,0,12
ST,0.36,0.16541353383458646,1.0,0.2838709677419355,22,111,0,29
ST,0.37,0.16923076923076924,1.0,0.2894736842105263,22,108,0,32
ST,0.38,0.18333333333333332,1.0,0.30985915492957744,22,98,0,42
ST,0.39,0.19298245614035087,1.0,0.3235294117647059,22,92,0,48
ST,0.4,0.19642857142857142,1.0,0.3283582089552239,22,90,0,50
ST,0.41,0.1981981981981982,1.0,0.33082706766917297,22,89,0,51
ST,0.42,0.205607476635514,1.0,0.34108527131782945,22,85,0,55
ST,0.43,0.20952380952380953,1.0,0.3464566929133859,22,83,0,57
ST,0.44,0.21153846153846154,1.0,0.34920634920634924,22,82,0,58
ST,0.45,0.21568627450980393,1.0,0.3548387096774193,22,80,0,60
ST,0.46,0.2268041237113402,1.0,0.36974789915966383,22,75,0,65
ST,0.47,0.23655913978494625,1.0,0.3826086956521739,22,71,0,69
ST,0.48,0.25,1.0,0.4,22,66,0,74
ST,0.49,0.25882352941176473,1.0,0.4112149532710281,22,63,0,77
ST,0.5,0.2682926829268293,1.0,0.4230769230769231,22,60,0,80
ST,0.51,0.2894736842105263,1.0,0.4489795918367347,22,54,0,86
ST,0.52,0.3055555555555556,1.0,0.46808510638297873,22,50,0,90
ST,0.53,0.3492063492063492,1.0,0.5176470588235293,22,41,0,99
ST,0.54,0.36065573770491804,1.0,0.5301204819277109,22,39,0,101
ST,0.55,0.39285714285714285,1.0,0.5641025641025641,22,34,0,106
ST,0.56,0.4230769230769231,1.0,0.5945945945945945,22,30,0,110
ST,0.57,0.46808510638297873,1.0,0.6376811594202899,22,25,0,115
ST,0.58,0.5238095238095238,1.0,0.6875000000000001,22,20,0,120
ST,0.59,0.6285714285714286,1.0,0.7719298245614035,22,13,0,127
ST,0.6,0.6666666666666666,1.0,0.8,22,11,0,129
ST,0.61,0.7,0.9545454545454546,0.8076923076923077,21,9,1,131
ST,0.62,0.7407407407407407,0.9090909090909091,0.8163265306122449,20,7,2,133
ST,0.63,0.76,0.8636363636363636,0.8085106382978724,19,6,3,134
ST,0.64,0.8636363636363636,0.8636363636363636,0.8636363636363636,19,3,3,137
ST,0.65,0.9411764705882353,0.7272727272727273,0.8205128205128205,16,1,6,139
ST,0.66,0.9411764705882353,0.7272727272727273,0.8205128205128205,16,1,6,139
ST,0.67,0.9375,0.6818181818181818,0.7894736842105263,15,1,7,139
ST,0.68,1.0,0.6363636363636364,0.7777777777777778,14,0,8,140
ST,0.69,1.0,0.5,0.6666666666666666,11,0,11,140
ST,0.7,1.0,0.2727272727272727,0.42857142857142855,6,0,16,140
ST,0.71,1.0,0.13636363636363635,0.24000000000000002,3,0,19,140
ST,0.72,1.0,0.09090909090909091,0.16666666666666669,2,0,20,140
ST,0.73,0.0,0.0,0.0,0,0,22,140
ST,0.74,0.0,0.0,0.0,0,0,22,140
ST,0.75,0.0,0.0,0.0,0,0,22,140
ST,0.76,0.0,0.0,0.0,0,0,22,140
ST,0.77,0.0,0.0,0.0,0,0,22,140
ST,0.78,0.0,0.0,0.0,0,0,22,140
ST,0.79,0.0,0.0,0.0,0,0,22,140
ST,0.8,0.0,0.0,0.0,0,0,22,140
ST,0.81,0.0,0.0,0.0,0,0,22,140
ST,0.82,0.0,0.0,0.0,0,0,22,140
ST,0.83,0.0,0.0,0.0,0,0,22,140
ST,0.84,0.0,0.0,0.0,0,0,22,140
ST,0.85,0.0,0.0,0.0,0,0,22,140
ST,0.86,0.0,0.0,0.0,0,0,22,140
ST,0.87,0.0,0.0,0.0,0,0,22,140
ST,0.88,0.0,0.0,0.0,0,0,22,140
ST,0.89,0.0,0.0,0.0,0,0,22,140
ST,0.9,0.0,0.0,0.0,0,0,22,140
CA,0.1,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.11,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.12,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.13,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.14,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.15,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.16,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.17,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.18,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.19,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.2,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.21,0.20987654320987653,1.0,0.346938775510204,34,128,0,0
CA,0.22,0.2111801242236025,1.0,0.34871794871794876,34,127,0,1
CA,0.23,0.23448275862068965,1.0,0.37988826815642457,34,111,0,17
CA,0.24,0.2463768115942029,1.0,0.39534883720930236,34,104,0,24
CA,0.25,0.2677165354330709,1.0,0.42236024844720504,34,93,0,35
CA,0.26,0.288135593220339,1.0,0.4473684210526315,34,84,0,44
CA,0.27,0.29310344827586204,1.0,0.4533333333333333,34,82,0,46
CA,0.28,0.3008849557522124,1.0,0.46258503401360546,34,79,0,49
CA,0.29,0.30357142857142855,1.0,0.4657534246575342,34,78,0,50
CA,0.3,0.30357142857142855,1.0,0.4657534246575342,34,78,0,50
CA,0.31,0.3063063063063063,1.0,0.4689655172413793,34,77,0,51
CA,0.32,0.3090909090909091,1.0,0.4722222222222222,34,76,0,52
CA,0.33,0.3148148148148148,1.0,0.4788732394366197,34,74,0,54
CA,0.34,0.3177570093457944,1.0,0.48226950354609927,34,73,0,55
CA,0.35,0.3238095238095238,1.0,0.4892086330935252,34,71,0,57
CA,0.36,0.3238095238095238,1.0,0.4892086330935252,34,71,0,57
CA,0.37,0.3269230769230769,1.0,0.4927536231884058,34,70,0,58
CA,0.38,0.3333333333333333,1.0,0.5,34,68,0,60
CA,0.39,0.33663366336633666,1.0,0.5037037037037037,34,67,0,61
CA,0.4,0.3617021276595745,1.0,0.53125,34,60,0,68
CA,0.41,0.38636363636363635,1.0,0.5573770491803279,34,54,0,74
CA,0.42,0.3953488372093023,1.0,0.5666666666666667,34,52,0,76
CA,0.43,0.40963855421686746,1.0,0.5811965811965811,34,49,0,79
CA,0.44,0.43037974683544306,1.0,0.6017699115044248,34,45,0,83
CA,0.45,0.4594594594594595,1.0,0.6296296296296297,34,40,0,88
CA,0.46,0.4788732394366197,1.0,0.6476190476190475,34,37,0,91
CA,0.47,0.5074626865671642,1.0,0.6732673267326732,34,33,0,95
CA,0.48,0.5151515151515151,1.0,0.6799999999999999,34,32,0,96
CA,0.49,0.5151515151515151,1.0,0.6799999999999999,34,32,0,96
CA,0.5,0.5483870967741935,1.0,0.7083333333333333,34,28,0,100
CA,0.51,0.5862068965517241,1.0,0.7391304347826086,34,24,0,104
CA,0.52,0.6071428571428571,1.0,0.7555555555555554,34,22,0,106
CA,0.53,0.6296296296296297,1.0,0.7727272727272727,34,20,0,108
CA,0.54,0.6538461538461539,1.0,0.7906976744186047,34,18,0,110
CA,0.55,0.68,1.0,0.8095238095238095,34,16,0,112
CA,0.56,0.6938775510204082,1.0,0.819277108433735,34,15,0,113
CA,0.57,0.6938775510204082,1.0,0.819277108433735,34,15,0,113
CA,0.58,0.7083333333333334,1.0,0.8292682926829268,34,14,0,114
CA,0.59,0.7083333333333334,1.0,0.8292682926829268,34,14,0,114
CA,0.6,0.723404255319149,1.0,0.8395061728395062,34,13,0,115
CA,0.61,0.7391304347826086,1.0,0.85,34,12,0,116
CA,0.62,0.7391304347826086,1.0,0.85,34,12,0,116
CA,0.63,0.7555555555555555,1.0,0.8607594936708861,34,11,0,117
CA,0.64,0.7555555555555555,1.0,0.8607594936708861,34,11,0,117
CA,0.65,0.7906976744186046,1.0,0.8831168831168831,34,9,0,119
CA,0.66,0.8095238095238095,1.0,0.8947368421052632,34,8,0,120
CA,0.67,0.8292682926829268,1.0,0.9066666666666667,34,7,0,121
CA,0.68,0.85,1.0,0.9189189189189189,34,6,0,122
CA,0.69,0.8717948717948718,1.0,0.9315068493150686,34,5,0,123
CA,0.7,0.8947368421052632,1.0,0.9444444444444444,34,4,0,124
CA,0.71,0.8947368421052632,1.0,0.9444444444444444,34,4,0,124
CA,0.72,0.918918918918919,1.0,0.9577464788732395,34,3,0,125
CA,0.73,0.918918918918919,1.0,0.9577464788732395,34,3,0,125
CA,0.74,0.9428571428571428,0.9705882352941176,0.9565217391304348,33,2,1,126
CA,0.75,0.9696969696969697,0.9411764705882353,0.955223880597015,32,1,2,127
CA,0.76,0.9666666666666667,0.8529411764705882,0.90625,29,1,5,127
CA,0.77,1.0,0.7647058823529411,0.8666666666666666,26,0,8,128
CA,0.78,1.0,0.5588235294117647,0.7169811320754718,19,0,15,128
CA,0.79,1.0,0.23529411764705882,0.38095238095238093,8,0,26,128
