label,threshold_default,default_f1,default_prec,default_rec,threshold_optimized,optimized_f1,optimized_prec,optimized_rec,f1_difference_pp,support
DV,0.5,0.8607594936708862,0.7727272727272727,0.9714285714285714,0.65,0.8787878787878788,0.9354838709677419,0.8285714285714286,1.8028385116992562,35
SH,0.5,0.6040268456375839,0.4326923076923077,1.0,0.6,0.9156626506024096,1.0,0.8444444444444444,31.163580496482567,45
ST,0.5,0.5378151260504201,0.367816091954023,1.0,0.64,0.896551724137931,1.0,0.8125,35.87365980875109,32
CA,0.5,0.7307692307692307,0.5846153846153846,0.9743589743589743,0.72,0.9620253164556962,0.95,0.9743589743589743,23.12560856864655,39
WH,0.5,0.5135135135135135,0.34545454545454546,1.0,0.54,0.9268292682926829,0.8636363636363636,1.0,41.331575477916935,19
OV,0.5,0.41509433962264153,0.2619047619047619,1.0,0.78,0.8421052631578948,1.0,0.7272727272727273,42.701092353525326,11
