condition,exact_match_acc,elementwise_acc,micro_prec,micro_rec,micro_f1,macro_prec,macro_rec,macro_f1
Condition A (Default Threshold 0.50),0.1524390243902439,0.7764227642276422,0.4508816120906801,0.988950276243094,0.6193771626297578,0.4608683940580492,0.990964590964591,0.6103297582107127
Condition C (Global Threshold 0.60),0.5670731707317073,0.9207317073170732,0.7351598173515982,0.8895027624309392,0.8049999999999999,0.7643431750106976,0.8805775121564595,0.7740683270822458
Condition B/D (Per-Label Optimized Thresholds),0.8353658536585366,0.9695121951219512,0.9575757575757575,0.8729281767955801,0.9132947976878613,0.9581867057673509,0.8645245957745958,0.9036603502390822
