threshold,val_micro_f1,test_micro_f1,val_exact_match,test_exact_match,val_macro_f1,test_macro_f1
0.3,0.36052366565961735,0.35984095427435386,0.0,0.0,0.3808683833859287,0.3628238408233954
0.35,0.3824786324786325,0.38306878306878306,0.0,0.0,0.4026737344188673,0.38701809086122435
0.4,0.4558258642765685,0.4559193954659949,0.0,0.0,0.4798850047928829,0.47439748435256757
0.45,0.5139500734214391,0.5135520684736091,0.012345679012345678,0.006097560975609756,0.5296629441685505,0.5252414007267618
0.5,0.595890410958904,0.6193771626297578,0.09876543209876543,0.1524390243902439,0.5974155788514648,0.6103297582107127
0.55,0.7014613778705637,0.7235772357723579,0.35185185185185186,0.3780487804878049,0.7147003001818387,0.7245986349057617
0.6,0.7604938271604939,0.8049999999999999,0.4567901234567901,0.5670731707317073,0.7590482182264423,0.7740683270822458
0.65,0.7536231884057971,0.7621776504297993,0.5123456790123457,0.5304878048780488,0.6850542050542051,0.6655655160192365
0.7,0.5611510791366907,0.5703971119133574,0.3271604938271605,0.34146341463414637,0.46722672520544856,0.47011486455930895
0.75,0.43220338983050843,0.4242424242424242,0.22839506172839505,0.21341463414634146,0.30314337403889646,0.32392245435723693
0.8,0.03278688524590164,0.05376344086021505,0.012345679012345678,0.024390243902439025,0.027027027027027032,0.03787878787878788
